片名,评分,热度,主题,年份,简介,BV码
国家相册 第三季,9.9分,165.5万播放  ·  1324弹幕  ·  2.8万追剧,人文 / 历史 ·,2020 ·,简介：“国家相册”系目前国内唯一一档依托老照片打造的，用照片讲述中国近百年历史的系列电视纪录片栏目。作为新华社精心打造的纪录片形态可视化全媒体产品，“国家相册”首次带着镜头走近这些老照片，把影像讲述与三维特效结合，打开那些被浓缩的人生、被折叠的时代，细述那些鲜为人知的人与故事。自2016年9月2日开播至今，已推出143期，题材广泛，涉及缅怀烈士、扫盲推广、回顾奥运、登山探险、艺术与人民、铁路发展、黄河治理、民俗传承、节庆文化、文明寻根、百姓生活等等。,BV1v54y1X7ta
如果国宝会说话 第三季,9.9分,1296万播放  ·  4.5万弹幕  ·  138.7万系列追剧,人文 / 历史 ·,2020 ·,简介：《如果国宝会说话》共１００集，分为四季播出，第一季将于２０１８年１月１日开始在中央电视台纪录频道首播。为拍摄该纪录片，摄制组足迹遍布全国，拍摄了近百家博物馆和考古研究所，５０余处考古遗址。纪录片没有渲染猎奇和神秘的曲折表述，也避免了高冷的学术性叙事。在每集５分钟的时间里，文物用通俗易懂的语言与观众平等对话，“诉说”发生在自己身上的传奇。,BV1k5411W7sQ
宫崎骏：十年一梦,9.9分,937.1万播放  ·  2.9万弹幕  ·  49.3万系列追剧,人文 ·,2020 ·,简介：NHK电视台从2006年开始跟踪拍摄宫崎骏，制作出纪录片《十年一梦》。宫崎骏是日本当代最重要的电影导演之一，创作了一些在史上独具标志性和广为人知的动画电影。宫崎骏特许了本片的导演和摄影师Kaku Arakawa，仅他一人跟随他工作并拍摄纪录片，镜头将记录下独家、真实的宫崎骏幕后生活。,BV1N5411a7YU
《人间世》抗疫特别节目,9.9分,778.2万播放  ·  5.3万弹幕  ·  72.8万系列追剧,人文 / 医疗 ·,2020 ·,"简介：《人间世》抗疫特别节目秉承沉浸式记录和蹲守式拍摄，大主题、小切入，用鲜活的叙事语言和画面，展现面对重大突发公共卫生事件的时候，人类所表现出的勇气和力量。
这不仅是上海的故事，也是人类的故事",BV1ep4y1Q7Qx
珍·古道尔的传奇一生,9.9分,74.8万播放  ·  3588弹幕  ·  8.9万系列追剧,人文 / 自然 ·,2020 ·,简介：这部广受赞誉的纪录片大量使用了从未曝光过的影像资料，讲述英国著名灵长类动物学家珍·古道尔的非凡故事。影片记录了她早年在坦桑尼亚的探索和研究，把重点放在她划时代的野外工作、她和丈夫摄影师雨果·范·劳克的关系，还有她所深入研究的黑猩猩上。作为一名长期的动物爱好者，珍在1957年实现了与非洲野生动物生活在一起的梦想。当时人类学家路易斯·利基博士在寻找研究猿类的帮手，珍虽然没有受过正规的训练，却仍然得到了利基博士的信任和重用。研究期间，珍发现了一个将震撼科学界的事实——黑猩猩会使用和修改工具，以帮助自己捕捉昆虫进食。,BV1VA411b7nM
英雄之城,9.9分,78.6万播放  ·  120弹幕  ·  3万追剧,人文 ·,2020 ·,简介：有人，在面对恐慌和未知时勇敢拉响警报；有人，在举步维艰的条件下与死神争分夺秒；有人，在困境中守望施援，重唤人们对美好与希望的向往。在武汉——这座英雄之城，每个人都在努力做对的事，以他们的真心、无畏和正直，助力打赢这场疫情防控的人民战争。新华社记者勇闯“红区” ，60多位记者“疫”线拍摄。首部武汉战疫2个月全景纪录片，一部感天动地的中国抗“疫”群英谱。,BV1xz411b7z9
上升：我们一起飞上3万米高空,9.9分,513.1万播放  ·  6.7万弹幕  ·  11.8万追剧,科技 / 宇宙 / 人文 ·,2020 ·,简介：由影视飓风团队摄制、出品的《探空气球》是一档高画质的科技类纪录片，本片以第一视角，记录下足够高质量的（8K分辨率、360°全景）近太空地球外貌画面影像，展现自然和天文的独特魅力。并通过幕后记录，讲述背后的创作经历和追梦故事，旨在传播科学和探索魅力，传递追逐梦想的力量和精神。,BV1M7411v7uX
围城随笔,9.9分,353.8万播放  ·  1.9万弹幕  ·  10.2万追剧,旅行 ·,2019 ·,简介：由@在远方的阿伦 独立拍摄制作完成的以省份地区或者地理坐标为划分的风景人文旅行纪录片系列。他用独特的视角和语言解构中国的人文地理，既发现旅途中的“山河湖海”，也记录在路上的“大国小民”； 既有关城市、村落、田野，也有关旅行和生活。,BV1gb411A7Gx
单伦单车游中国 第二季,9.9分,101.4万播放  ·  3585弹幕  ·  2.3万追剧,旅行 ·,2019 ·,简介：阿伦是一位独自旅行的记录者，《单伦单车游中国第二季》是阿伦独立拍摄制作的自驾游中国的公路纪录片，既有大好河山，也有大国小民。这一季，他行驶过川藏北线、新藏线、独库公路、西北环线并独自穿越过柴达木盆地，并与友人相约重装徒步穿越天山南北。,BV1jW411E78x
未至之境（中配版）,9.9分,730.3万播放  ·  6.3万弹幕  ·  78.1万系列追剧,动物 / 自然 ·,2019 ·,"简介：从绵延万里的山脉高原，到枝繁叶茂的雨林竹海，我们涉足了中国人迹罕至的未至之境。本剧将探秘那些我们所知甚少的国内野生动物，跟拍它们""平凡普通""的日常生活，揭开珍稀动物们的神秘面纱。",BV1yJ411U7QL
古董超有趣,9.9分,801.3万播放  ·  1.9万弹幕  ·  16.1万追剧,历史 / 人文 ·,2019 ·,简介：《古董超有趣》是由李木瓜个人制作的面向年轻群体的古董文物短视频，旨在以轻松有趣的方式拉近古代器物与你的距离，普及知识与背后的历史故事。,BV1Jb411T7p3
戚继光,9.9分,188.4万播放  ·  1.6万弹幕  ·  6.7万追剧,历史 / 人文 ·,2019 ·,简介：浙江卫视创制的纪录片《戚继光》聚焦他在东南沿海的抗倭经历，通过分集《参将》、《倭患》、《新兵》、《铁军》、《战神》，以全新的创作思维，解读400多年前的一段英雄故事。不同于以往纪录片中的情景再现，纪录片《戚继光》选取了定格动画这一创作手法，风格化地呈现了戚继光的英雄形象。,BV1VE411h7oH
寻找手艺2,9.9分,53万播放  ·  1.1万弹幕  ·  28.7万系列追剧,人文 / 探险 / 社会 / 旅行 ·,2019 ·,简介：这是《寻找手艺》的回访，又一部失败的纪录片。这次，导演的梦想是想做一部电影，当然，他肯定失败了。他曾经想，干脆把这部片子雪藏了，可是，至少它还有一个作用：寻人启事，如果能达到这个目标，那也值。所以，如果你不小心点开了它，恳请把它看完，结尾时导演的那个请求，可能是这部片子最大的价值。来，让我们祈祷！,BV1RE411k7yH
FOX的北极之旅,9.9分,214.4万播放  ·  1.4万弹幕  ·  5.3万追剧,人文 / 旅行 / 自然 ·,2019 ·,简介：白雪皑皑的绝美冰原、天空中飘舞着炫丽极光的永夜世界，这是许多人对于冬季北极地区的直观印象。而bilbili知名旅行UP主公路旅人FOX将与重量级的好友一同驾车深入壮丽的冬季北欧北极冰原，带给个人前所未有、仿佛在亲身旅行的壮阔体验。,BV1Qb411Y7YM
未至之境（英配版）,9.9分,1903.3万播放  ·  10.3万弹幕  ·  78.1万系列追剧,动物 / 自然 ·,2019 ·,"简介：从绵延万里的山脉高原，到枝繁叶茂的雨林竹海，我们涉足了中国人迹罕至的未至之境。本剧将探秘那些我们所知甚少的国内野生动物，跟拍它们""平凡普通""的日常生活，揭开珍稀动物们的神秘面纱。本片由bilibili与美国国家地理联合出品，中国野生动物保护协会与英国布赖恩里斯公司联合摄制。",BV1kJ411U7mB
生命的起源,9.9分,269.7万播放  ·  9922弹幕  ·  15.7万追剧,自然 / 科技 ·,2019 ·,简介：世界著名自然历史节目主持人大卫·爱登堡爵士和获得无数奖项的大西洋制作公司合作进行了此次时间之旅，周游世界，试图发现最早的动物如何在我们的星球上出现。·爱登堡与致力于寻找化石的专家会面，并实地参观了一些最为著名的发现现场，在这些地方的发现改变了人类对最初生命形态的理解，包括最早的眼睛，牙齿，最早的食肉动物，和最早的寄生虫。爱登堡使用电脑生成图像将6亿年前这些怪异的原始生物呈现在我们面前。《爱登堡之旅》（55分钟）在完成对生命起源追踪的同时，也使我们对爱登堡有了深刻的了解。,BV1R4411F77t
雄心勃勃 垃圾一坨,9.9分,225.3万播放  ·  1.4万弹幕  ·  112.6万系列追剧,人文 / 科技 / 探险 ·,2019 ·,简介：Top Gear，是由BBC出品的一档汽车娱乐节目，自2002年改版推出，至今已经26季。脑回路清奇的创意、疯狂在燃烧的经费、堪比好莱坞的制作，它被称为全世界最好的汽车秀。,BV1Bt411F7gh
冰冻星球：史诗之旅,9.9分,64.7万播放  ·  5410弹幕  ·  6.1万追剧,自然 / 动物 ·,2019 ·,简介：这个精彩的一小时特别节目带来了备受赞誉的《冰冻星球》系列中的亮点，带领观众领略整个极地年中的壮观景象——从最冷的寒冬到融化的极地夏季。在南极，春季随着雄性阿德利企鹅的活动开启。这种企鹅十分滑稽，喜欢偷石头。夏季，雌性企鹅回归，企鹅父母要赶在秋季的大冰冻来临之前抚育幼崽。在北极，小小的北极熊在雪下开始了它们的生活，此时，雄性北极熊面临着地球上最严酷的冬季。脚下的冰在融化，3只幼崽能否生存下来？我们将在令人震撼的极地景观中呈现这些故事以及《冰冻星球》其它角色令人难忘的瞬间。,BV1E4411G7YV
都在酒里,9.9分,205.3万播放  ·  1.2万弹幕  ·  32.6万系列追剧,美食 / 社会 ·,2019 ·,简介：机核GSENSE带来全新系列纪录片《都在酒里》，这次我们拉来机核的老朋友老张，开启一场走遍世界的特别精酿啤酒之旅，与他同行的则是爱吃爱喝的Moby和西蒙。精酿啤酒这个概念火了很久，但其中有什么门道和值得一提的魅力？这部纪录片就会告诉你！,BV194411B74h
侠游四方,9.9分,101万播放  ·  1.5万弹幕  ·  2.9万追剧,社会 / 人文 ·,2019 ·,"简介：游戏玩家是一群熟悉又陌生的群体，这一次让我们跨越次元走进虚拟头像后的精彩人生。
在剑网3十周年到来之际，中国首部以游戏玩家为主题的大型纪录片即将于8月2日与侠士们见面了！我们从西山居出发，走出次元的边界，采撷最真实的素材。历时151天，跨越18个时区，行程53394公里，跨越山河湖海，从雪原到戈壁，从都市到乡间不论是00后，还是50后，和这个江湖中有趣的灵魂相遇...",BV16t411F7tc
足球少年养成 第二季,9.9分,98.5万播放  ·  9111弹幕  ·  3.7万系列追剧,社会 / 运动 / 人文 ·,2019 ·,简介：日本全国高中足球选手权大会是非常具有代表性的校园体育赛事，拥有近百年历史，蕴含非常青春正能量的校园足球文化。本系列《足球少年养成》第二季主要围绕第97回日本高中足球选手权大会，是对第一季内容的补充和延伸，本次主创团队进行了为期三个月的拍摄，造访了日本传统体育名校青森山田高校、静冈学园、日本航空高校以及神户胜利船俱乐部等地，补充了第一季所缺失的县大赛部分内容，也延伸跟踪记录第一季故事主角的成长动态，相比第一季有着更丰富的故事场景和人物线索，能够更全面和深入的让用户了解到日本校园足球的完整体系，也让关于“成长”和“教育”的故事更有现实意义。,BV1Et411E7HK
詹姆斯·梅的人民之车 第一季,9.9分,79.7万播放  ·  7772弹幕  ·  112.6万系列追剧,人文 / 科技 / 探险 ·,2019 ·,简介：跨越世界山河的汽车比拼，经费再次疯狂燃烧，全世界最好的汽车秀，Top Gear第27季全新主持整容即将开跑！,BV16441137qF
Top Gear总集篇,9.9分,123.3万播放  ·  9057弹幕  ·  112.6万系列追剧,人文 / 科技 / 探险 ·,2019 ·,简介：不设边界、不找借口、不守规矩，Top Gear第26季将于2月18日起，bilibili全网独播！每周一10:00更新一集，游戏开始！,BV1B4411L7JD
荒野求生 第四季,9.9分,3553.6万播放  ·  19.1万弹幕  ·  161.7万系列追剧,探险 / 自然 / 运动 ·,2019 ·,简介：贝尔 格里尔斯来到北极圈的冰冷水域，这里是地球上最严寒的地带之一。贝尔要挑战冰冻的瀑布，并且狩猎野生驯鹿。他临时把降落伞当做风筝，穿过一大片冰湖，接着跃入齐颈深的冰冷河水。当他终于安全穿越海岸，他的探险之旅依然没有结束。贝尔要用被海水冲上岸的一块块残骸，制造一艘小筏，划往峡湾外的岛屿。只有在那里，他的信号弹才能被航线上的渔船发现。,BV1J4411F7oA
荒野求生 第三季,9.9分,2880.0万播放  ·  18.3万弹幕  ·  161.7万系列追剧,探险 ·,2019 ·,简介：在《荒野求生》第三季节目中，贝尔·格里尔斯将来到地球上最艰苦、最荒凉的地方接受挑战。贝尔将利用他独特的生存技术向您展示如何在这样的环境中生存一周。但是如果没有正确的生存技能，你连一天都忍不了。,BV1i4411v7uW
萌宠成长记 第一季,9.9分,394.1万播放  ·  2.4万弹幕  ·  33万系列追剧,动物 / 萌宠 ·,2019 ·,简介：毛绒绒的小毛球，柔软的小肉垫是否会让你心动不已呢。“萌宠成长记”使用了先进的设备，并借鉴拍摄野生动物纪录片的手法，在每集都讲述了三个品种的小狗或小猫的成长故事，绝对会让喜欢萌宠的你过足瘾。从刚出生时的蹒跚学步，发出第一声野性的呼唤，到之后的结交新友，勇敢踏上大冒险，再到最后离开爸爸妈妈去往新家庭。他们有的调皮捣蛋，有的温柔可爱，有的虽然瘦小却意志坚定，有的一出世就对一切充满好奇。虽然各不相同，但有一点是肯定的，那就是他们都太萌了。,BV1Zt411f7bL
深海：深渊之光,9.9分,223.7万播放  ·  9871弹幕  ·  9.4万追剧,动物 / 自然 ·,2018 ·,简介：在加利福尼亚的西部沿海，旧金山以南200公里的地方，坐落着蒙特雷湾。洋流将丰富的营养物质带到这片海湾，养活了数量众多的海洋哺乳动物。而在海面下，存在着巨大的水下峡谷。在200米到1000米深度之间，光线无法渗透的“暮光带”中，生活着一群会自体发光的生物。研究员和摄像师聚集在此，数次潜水，试图捕捉在几近漆黑的深渊，熠熠闪烁的奇妙生物的画面。生物发光的原理是什么？作用又是什么？这些都是久而未解的谜团。,BV1nW411o7QW
不了神话：宫崎骏,9.9分,633.9万播放  ·  1.4万弹幕  ·  49.3万系列追剧,人文 ·,2018 ·,简介：日本动画传奇宫崎骏忽然在3年前宣布退休，并关闭了吉卜力工作室。他说，再也不想做动画电影。在鼎盛时期，吉卜力工作室制作了许多杰作，构建了扣人心弦的幻想世界。这一次，所有人都觉得，一切都结束了。而事实上，始终坚持手绘的宫崎骏借助计算机技术，制作了一部12分钟的电影短片，还正筹备制作一部新的动画电影。已经七十多岁的宫崎骏除了面临接班人难寻的困境，还不得不接受昔日老友和同事接连离世的悲伤……,BV13W411o7bp
与猎豹同行,9.9分,173.5万播放  ·  1.6万弹幕  ·  5.3万追剧,动物 / 自然 ·,2018 ·,简介：电影制片人金·沃尔哈特赢得了一个猎豹家族的信任。它们允许金·沃尔哈特留在它们身边，同它们一起狩猎、追逐－杀戮狮子、倚靠犀牛站立、每天直面死亡。,BV1zW411d7zp
荒野求生 第二季,9.9分,2852万播放  ·  43.7万弹幕  ·  161.7万系列追剧,探险 ·,2018 ·,简介：在《荒野求生》第二季节目中，贝尔·格里尔斯将来到地球上最艰苦、最荒凉的地方接受挑战。贝尔将利用他独特的生存技术向您展示如何在这样的环境中生存一周。但是如果没有正确的生存技能，你连一天都忍不了。,BV1cW411Z7kD
萌宠成长记,9.9分,621.9万播放  ·  4.5万弹幕  ·  33万系列追剧,动物 / 萌宠 ·,2018 ·,简介：最能让我们卸下心防回归纯真的两种生物就是宠物和婴儿，但如果这两种生物合二为一: 婴儿期的宠物，又会带来多强的杀伤力呢？本系列纪录片中记录了共三十一个不同品种的猫猫狗狗，从初生时的萌萌肉团到成年的点滴，他们或许兄妹成群，却有迥异的秉性；即便已成年多日，仍有小孩子般可爱的脾气，好奇地探索和学习着这个斑斓世界。成年后的他们也有各自的重要角色，与我们在社会中共存。观看这一系列影片时，你在被他们的满满萌力射穿的同时，也将感慨生命的力量与神奇。,BV1Pp411f7RU
足球少年养成,9.9分,111.9万播放  ·  6254弹幕  ·  3.7万系列追剧,人文 / 社会 / 运动 ·,2018 ·,简介：校园的情怀，青春的符号，热血，泪水，汗水，应援，梦想，日本高中足球有着太多生动的标签，黑马体育情怀之作：三集校园足球纪录片《少年足球养成》，即将在4月20日全平台上线播出，第一次为中国球迷完整记录这个具有96年历史的校园足球赛事，真实呈现青春洋溢、多彩细腻的日本校园足球文化，三集纪录片分别以 “全国制霸”、“青春的勋章”、“愿燃烧殆尽”为主题，根据不一样的线索讲述日本高中足球的故事，也希望能为中国足球探索校园足球发展提供一个近邻的样本参考。拥抱校园，拥抱青春，校园足球可以很美好。,BV1FW41157ed
Top Gear 第20季,9.9分,285.8万播放  ·  2.3万弹幕  ·  112.6万系列追剧,科技 / 运动 / 社会 ·,2018 ·,简介：Top Gear，是由BBC出品的一档汽车娱乐节目，自2002年改版推出，至今已经25季。脑回路清奇的创意、疯狂在燃烧的经费、堪比好莱坞的制作，它被称为全世界最好的汽车秀。本次，Top Gear第25季将于2月26起，在bilibili全网独播，每周一10:00更新一集，前24季也将陆续上线。不解释了，赶紧上车吧。,BV1eW411K76E
生命时速·紧急救护120,9.9分,1856.2万播放  ·  12.4万弹幕  ·  20.7万追剧,医疗 / 社会 ·,2018 ·,简介：全国首部大型院前医疗急救纪实片。 该片记录了上海“流动的急诊室”内外的故事， 展现了医患间、病人与亲友间的情感与理解，同时科普了急救知识，助推实现“健康中国”。,BV1kW411M7ws
Top Gear 第22季,9.9分,868万播放  ·  6.2万弹幕  ·  112.6万系列追剧,科技 / 运动 / 社会 ·,2018 ·,简介：Top Gear，是由BBC出品的一档汽车娱乐节目，自2002年改版推出，至今已经25季。脑回路清奇的创意、疯狂在燃烧的经费、堪比好莱坞的制作，它被称为全世界最好的汽车秀。本次，Top Gear第25季将于2月26起，在bilibili全网独播，每周一10:00更新一集，前24季也将陆续上线。不解释了，赶紧上车吧。,BV1qW411g79e
如果国宝会说话 第二季,9.9分,2627.5万播放  ·  6万弹幕  ·  138.7万系列追剧,人文 / 历史 ·,2018 ·,简介：《如果国宝会说话》共１００集，分为四季播出，第二季将于２０１８年7月23日开始在中央电视台纪录频道首播。为拍摄该纪录片，摄制组足迹遍布全国，拍摄了近百家博物馆和考古研究所，５０余处考古遗址。纪录片没有渲染猎奇和神秘的曲折表述，也避免了高冷的学术性叙事。在每集５分钟的时间里，文物用通俗易懂的语言与观众平等对话，“诉说”发生在自己身上的传奇。,BV18s411P7kS
喋血长平,9.9分,330万播放  ·  5.2万弹幕  ·  10.3万追剧,军事 / 历史 / 人文 ·,2017 ·,简介：长平之战是中国古代军事史上规模空前的一场战略决战，秦赵两国先后在战役中投入兵力上百万。战国四名将中的白起、廉颇都参与了此战，四十万赵军俘虏被一夜坑杀，战况极其惨烈血腥。敌对双方的政治手腕与军事谋略在长平之战中都得到了淋漓尽致的表现。这场战役不仅造就了“纸上谈兵“的典故，也隐含着众多不为人所细查的秘密。,BV1fx411r7Mb
如果国宝会说话 第一季,9.9分,2252.6万播放  ·  13万弹幕  ·  138.7万系列追剧,人文 / 历史 ·,2018 ·,简介：《如果国宝会说话》共１００集，分为四季播出，第一季将于２０１８年１月１日开始在中央电视台纪录频道首播。为拍摄该纪录片，摄制组足迹遍布全国，拍摄了近百家博物馆和考古研究所，５０余处考古遗址。纪录片没有渲染猎奇和神秘的曲折表述，也避免了高冷的学术性叙事。在每集５分钟的时间里，文物用通俗易懂的语言与观众平等对话，“诉说”发生在自己身上的传奇。,BV1mW411q7sZ
寻找手艺,9.9分,375.8万播放  ·  13.9万弹幕  ·  28.7万系列追剧,人文 / 社会 ·,2017 ·,"简介：这是一部行走式的纪录片，讲述三个纪录片的外行，寻找拍摄199名手艺人的故事。 片子没有华丽的画面，没有绝妙的悬念。它只展现真诚，安安静静地和你讲述一系列属于中国自己的、温暖的故事。
从情感上，它甚至是一部主旋律纪录片，但它放下以往纪录片的高高在上，而是从个人情感切入， 以极强的代入感，带领观众体验一次真诚的文化之旅。
在前期拍摄，本片没有一丝摆拍及人为导演痕迹，完全没有主流的“专业”架式。在后期讲述角度上，本片大胆采用了风险最大的第二人称。
本片音乐由小河、钟立风操刀，每一个音符都是原创。
是的，它和你想象的纪录片完全不一样。",BV1rx411D7j4
寻味顺德,9.9分,1560.2万播放  ·  13.9万弹幕  ·  23万追剧,美食 / 人文 ·,2016 ·,"简介：《寻味顺德》由创作《舌尖上的中国》的主力团队担纲制作，《舌尖》系列片总导演、央视纪录频道项目运营部主任陈晓卿担任该片总顾问，《舌尖》第二季之《秘境》的导演刘硕和费牖明共同执导；著名配音表演艺术家、《舌尖》系列片解说李立宏担任解说；国内一流的文化学、人类学等诸多领域的专家学者和美食达人组成庞大的顾问团队，为该片奉献了绝佳的创意和专业的支持。
“今天是谷雨，一年前这部纪录片在顺德开始拍摄。我们走遍了大街小巷，每天都能感受到顺德带给我们的惊喜。”刘硕和费牖明说，积累了36,000分钟的原始素材，最终精剪出150分钟的《寻味顺德》，这其间，摄制团队经历了很多意想不到的艰辛。“在三集的纪录片中，我们不仅要讲述珠三角的悠久传统，向祖先的智慧致敬，更重要的是表达一个主题：在美食传统中寻找前行的力量。”他们表示，作为《舌尖》第二季的导演，创作《寻味顺德》是又一次难得的历练机会，系统学习了媒体纪录片的模式化制作，真正做到在创作的各个环节都符合纪录片国际化的规范和标准。",BV1as411B7D5
单向乐队：我们所到之处,9.9分,14.2万播放  ·  610弹幕  ·  6502追剧,人文 / 社会 ·,2015 ·,简介：《单向乐队：我们所到之处》演唱会电影，将包含乐队6月28日及29日，在米兰圣西罗球场举行的演唱会实况，75分钟演唱会画面，《What Makes You Beautiful》及《Best Song Ever》等大热歌曲一网打尽，外加15分钟的独家幕后花絮及乐队成员采访。,BV1Zx411Q7SL
自然世界：揭秘猫头鹰,9.9分,18.9万播放  ·  2495弹幕  ·  1万追剧,自然 / 动物 ·,2017 ·,简介：猫头鹰以其独特的面孔和非凡的头部转动能力而成为最受我们喜爱的鸟。但我们很少在野外看到它们。这些神秘的鸟儿时常在深夜中出没，静悄悄地掠过黑暗。那么它们是如何在黑暗中看见东西以及悄无声息地飞行的呢？透过两只特别的谷仓猫头鹰雏鸟的眼睛，并在世界顶级科学家的帮助下，《自然世界》将展示猫头鹰超级能力背后的秘密。,BV1Vx411J7oZ
企鹅群里有特务,9.9分,268.1万播放  ·  7.1万弹幕  ·  15.5万追剧,自然 / 动物 ·,2013 ·,简介：剧组制作了17台机器企鹅，并在它们身上安装了50种不同的“眼睛”（镜头），然后将这些“企鹅间谍”放入野生的企鹅群落中。因为有了“企鹅间谍”，制作单位有史以来以最近距离揭示了自然界最称职的父母——在南极洲长途跋涉的帝企鹅团队，在秘鲁阿塔卡马沙漠的跳岩企鹅和洪堡特企鹅家族的秘密生活。感谢这些企鹅间谍的相助，它们帮助记录人员在企鹅的栖息地中，在不打扰其正常生活的同时进行隐秘拍摄，也为观众展现了世界上最憨态可掬的动物——企鹅的真实情感世界，节目组也首次拍摄到一名帝企鹅妈妈产下下宝贝的全过程。,BV1rx411S7GL
二十二,9.9分,527.7万播放  ·  4万弹幕  ·  21.7万追剧,纪实 ·,2017 ·,简介：在日本侵华战争（1937-1945）的八年期间，20万中国妇女被迫沦为日军性奴隶。在纪录电影《二十二》开拍之时，中国内地仅剩22位“慰安妇”幸存者。当光阴慢慢划过，时间抚平伤口，这些经历了常人无法想象磨难的老人们，如今又身在何处，过着怎样的生活，经历着怎样的悲喜忧乐？剧组在中国内地的黑龙江、山西、湖北、广西、海南5省的29个地区进行了几个月的拍摄，完整、全面的记录下了中国内地幸存的22位“慰安妇”老人在2014年的生活现状和其中几位老人的内心世界。,BV1iW411W78V
第一餐2,9.8分,4276.6万播放  ·  4.6万弹幕  ·  116.5万系列追剧,美食 / 人文 ·,2024 ·,简介：继续探索全国各地独具特色的早餐文化及传奇早餐店，以温暖轻快的方式讲述中国晨起之味，感受中国早餐美食的诱人，体会中国人细腻温柔的情感故事。,BV1jm411f7o1
中国通史,9.8分,1.6亿播放  ·  133万弹幕  ·  294.5万系列追剧,历史 / 人文 ·,2020 ·,简介：《中国通史》以丰富的视听手段再现自中华文明起源到1911年时期的浩瀚历史图景，较全面地讲述中国古代历史发生、发展过程，揭示历史发展趋势及规律。,BV1Rf4y1m7yk
守护解放西3,9.8分,4.3亿播放  ·  252万弹幕  ·  501.7万系列追剧,社会 / 罪案 ·,2022 ·,简介：《守护解放西》作为一档警务纪实节目，通过观察纪录式的拍摄手法，以湖南省长沙市坡子街派出所民警为人物核心，深度展示大都市核心商圈城市警察的日常工作。,BV1V3411e7ok
不止考古·我与三星堆,9.8分,1.6亿播放  ·  10万弹幕  ·  42.2万追剧,历史 / 人文 / 社会 ·,2022 ·,简介：《不止考古·我与三星堆》由哔哩哔哩独家自制出品，国内首部以考古人为拍摄视角的人文纪录片。在三星堆新发现的大背景下，本片从发掘、保护、修复、研究等多个维度，真实记录一群考古人背后的故事。他们深耕田野，发掘四季；守护文物，与时间为敌；对话过去，唤醒历史的记忆……考古不止有古老的文明，璀璨的瑰宝，更有尘土之下，内心深处的仰望。,BV1KN4y1w784
单挑荒野 第二季,9.8分,6143.8万播放  ·  28.6万弹幕  ·  287.6万系列追剧,探险 ·,2019 ·,简介：第二季：蒙古戈壁、瓜地马拉、纳米比亚。探险家兼求生专家埃德·斯塔福德(Ed·Stafford)会在《单挑荒野》节目中把求生技能发挥到极致。在每集节目中，埃德将只身受困于一个偏远地点长达十天，他将只身抵御地球上最恶劣的环境，除了录影设备身上再无其他工具，甚至连一把小刀都没有。身心备受考验。没有粮食和食水，没有衣服或者户外装备。,BV15x411X7vH
众神之地,9.8分,1.5亿播放  ·  17.2万弹幕  ·  100.5万追剧,自然 / 动物 / 人文 ·,2022 ·,简介：人类一直在探索自然的奥义，我们通过探访各种极致的自然地貌和这片土地上的生命，探寻人、动物、自然的和谐共生之道。这一次我们跨越中国四角的不同生态，通过探寻四种令人敬畏的动物，通过努力感受它们，尝试与天地沟通。它们在远古曾经是图腾，是食物链顶端的动物——森林之王东北虎、海上精灵白海豚、雨林巨无霸亚洲象和雪山使者野牦牛。这四种被称为旗舰物种的动物，它们与天地同生，与人类共存，用特殊的方式帮助人与自然对话。众神之地，是那些神奇沟通的发生之地。,BV1TS4y1H7qM
守护解放西,9.8分,1.9亿播放  ·  182.3万弹幕  ·  501.7万系列追剧,社会 / 罪案 ·,2019 ·,简介：由哔哩哔哩及中广天择传媒股份有限公司联合出品制作的《守护解放西》作为一档警务纪实节目，通过观察纪录式的拍摄手法，以湖南省长沙市坡子街派出所民警为人物核心，深度展示大都市核心商圈城市警察的日常工作。节目共10集，通过民警巡逻、多警种联动、疑犯审讯、要案参与等事件，展现警情复杂地带的法、理、情、事，展现有担当、有理性、有人情的人民警察形象，并通过各类案件故事普及相关安全和法律常识。,BV1EJ411N7FW
